wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.195, -1.39163847E+01, -1.39125299E+01, -1.38906870E+01, -1.38594751E+01, -1.38419437E+01, -1.38322134E+01, -1.38274508E+01, -1.38301458E+01, -1.38355885E+01, -1.38403578E+01
1550.2, -1.38641653E+01, -1.38652077E+01, -1.38767328E+01, -1.38884506E+01, -1.38969936E+01, -1.38965158E+01, -1.38820772E+01, -1.38681965E+01, -1.38533049E+01, -1.38519459E+01
1550.2050000000002, -1.38685246E+01, -1.38619776E+01, -1.38696213E+01, -1.38873587E+01, -1.38981676E+01, -1.38982811E+01, -1.39063320E+01, -1.39104156E+01, -1.39032469E+01, -1.38930035E+01
1550.2100000000003, -1.38959780E+01, -1.38871851E+01, -1.38938637E+01, -1.39169006E+01, -1.39193201E+01, -1.39085550E+01, -1.39164305E+01, -1.39240942E+01, -1.39124031E+01, -1.38955259E+01
1550.2150000000004, -1.39173412E+01, -1.39167490E+01, -1.39152565E+01, -1.39055510E+01, -1.39008656E+01, -1.39044523E+01, -1.39042377E+01, -1.38993521E+01, -1.39032049E+01, -1.39103994E+01
1550.2200000000005, -1.39633436E+01, -1.39741764E+01, -1.39703255E+01, -1.39629202E+01, -1.39394073E+01, -1.39265642E+01, -1.39422998E+01, -1.39756269E+01, -1.40138779E+01, -1.40012655E+01
1550.2250000000006, -1.39790268E+01, -1.39676085E+01, -1.39565163E+01, -1.39449272E+01, -1.39575663E+01, -1.39682379E+01, -1.39815865E+01, -1.39921503E+01, -1.40048065E+01, -1.39845161E+01
1550.2300000000007, -1.39970121E+01, -1.40073290E+01, -1.40152006E+01, -1.40217943E+01, -1.40240536E+01, -1.40222006E+01, -1.40066833E+01, -1.39858503E+01, -1.39615631E+01, -1.39546623E+01
1550.2350000000008, -1.39916286E+01, -1.39833689E+01, -1.39819984E+01, -1.39866323E+01, -1.39934940E+01, -1.40057840E+01, -1.40155487E+01, -1.40008459E+01, -1.40012074E+01, -1.39968309E+01
1550.240000000001, -1.40383844E+01, -1.40217171E+01, -1.40084047E+01, -1.40071383E+01, -1.39999151E+01, -1.40044794E+01, -1.40209732E+01, -1.40332766E+01, -1.40325623E+01, -1.40310898E+01
1550.245000000001, -1.40517273E+01, -1.40589170E+01, -1.40654812E+01, -1.40685158E+01, -1.40622482E+01, -1.40446815E+01, -1.40292511E+01, -1.40235615E+01, -1.40156088E+01, -1.40172262E+01
1550.2500000000011, -1.40524082E+01, -1.40778151E+01, -1.40892496E+01, -1.40759573E+01, -1.40627651E+01, -1.40561085E+01, -1.40509977E+01, -1.40519609E+01, -1.40477610E+01, -1.40449371E+01
1550.2550000000012, -1.40567617E+01, -1.40577211E+01, -1.40620871E+01, -1.40610905E+01, -1.40624266E+01, -1.40691795E+01, -1.40899782E+01, -1.41031895E+01, -1.41038799E+01, -1.41002245E+01
1550.2600000000014, -1.41104832E+01, -1.41025476E+01, -1.40965376E+01, -1.40951128E+01, -1.40881968E+01, -1.40934296E+01, -1.40952311E+01, -1.40850477E+01, -1.40815773E+01, -1.40726595E+01
