wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1551.7350000000001, -46.3140755, -47.1860962, -47.1886063, -47.1906662, -47.1920357, -47.1945496, -47.1966095, -47.1945496, -47.2673416, -47.2639236
1551.7450000000001, -47.2539978, -47.2570763, -47.2562561, -47.2581825, -47.2576866, -47.2585106, -47.2593803, -47.2607002, -47.2616653, -47.2616882
1551.755, -47.2530327, -47.2528458, -47.2539711, -47.2541618, -47.2545853, -47.2552643, -47.2563019, -47.2563248, -47.2552872, -47.2579689
1551.765, -47.2443695, -47.2443008, -47.2447701, -47.2440681, -47.2448158, -47.2451935, -47.2456627, -47.2462959, -47.2467155, -47.2476082
1551.775, -47.2322426, -47.2328033, -47.2321968, -47.2328491, -47.2342529, -47.232872, -47.2334595, -47.2339249, -47.2340889, -47.2341118
1551.785, -47.2137604, -47.2128525, -47.2131767, -47.2135277, -47.2143631, -47.2135963, -47.2152023, -47.2141304, -47.213829, -47.2147827
1551.795, -47.1900024, -47.191185, -47.1914864, -47.1910896, -47.190258, -47.1909981, -47.1905594, -47.192318, -47.1917877, -47.1919975
1551.805, -47.1667442, -47.167366, -47.1672516, -47.1681747, -47.1674843, -47.1671143, -47.167942, -47.1687737, -47.1690254, -47.1684494
1551.815, -47.1374321, -47.1383209, -47.1397438, -47.1353722, -47.1377525, -47.136425, -47.1361961, -47.1376381, -47.1380234, -47.1370888
1551.825, -47.099659, -47.0994568, -47.1000938, -47.1011581, -47.0995255, -47.1005249, -47.0994797, -47.1001396, -47.1008644, -47.1010895
1551.835, -47.0587997, -47.0583267, -47.0584831, -47.0574074, -47.058239, -47.058754, -47.0587959, -47.0590935, -47.0574951, -47.0574951
1551.845, -46.9988403, -46.9985313, -46.9953194, -46.9960938, -46.9963799, -46.9966927, -46.9970894, -46.9981308, -46.9980888, -46.9980888
1551.855, -46.9387589, -46.9382553, -46.938736, -46.9367485, -46.9365311, -46.9370766, -46.9369469, -46.9381676, -46.9374466, -46.9369888
1551.865, -46.859169, -46.8607178, -46.8610802, -46.8610153, -46.8629265, -46.86166, -46.8622818, -46.8622398, -46.8619804, -46.8620682
1551.875, -46.7815399, -46.782486, -46.7836685, -46.7812462, -46.7823181, -46.7819824, -46.7812004, -46.7821503, -46.7821732, -46.7819405
1551.885, -46.6851234, -46.6839905, -46.6829796, -46.6849594, -46.6843414, -46.6851044, -46.6851654, -46.6851234, -46.6853104, -46.6830635
1551.895, -46.5695915, -46.5702934, -46.5710602, -46.5726242, -46.570919, -46.5705376, -46.5688705, -46.5713196, -46.5727844, -46.5720253
1551.905, -46.4690437, -46.4684753, -46.4672203, -46.4674377, -46.467144, -46.4658089, -46.4667091, -46.4667091, -46.4668694, -46.467144
1551.915, -46.3189735, -46.3196564, -46.3191261, -46.3177605, -46.3180084, -46.3195801, -46.3188629, -46.3191261, -46.3181992, -46.3185577
1551.925, -46.1860161, -46.1802483, -46.1770401, -46.1761742, -46.1761589, -46.1733704, -46.1752243, -46.1723633, -46.1726952, -46.1715927
1551.935, -45.4303665, -45.4289932, -45.396553, -44.7410927, -45.4460983, -45.4071236, -44.2360191, -45.4146271, -45.4037628, -45.4161949
1551.945, -45.1130562, -45.3635483, -45.3071022, -44.4650154, -44.4652481, -45.120182, -45.283268, -44.836277, -45.401062, -45.4142113
1551.955, -45.7280502, -45.7254372, -45.7202492, -45.7165527, -45.7143745, -45.7129745, -45.7127762, -45.7132721, -45.7120018, -45.714325
1551.965, -45.4882774, -45.4893913, -45.491848, -45.4913597, -45.4913445, -45.4925537, -45.4995308, -45.5065498, -45.5065956, -45.5034676
1551.975, -45.3139229, -45.3177757, -45.3184204, -45.3187523, -45.3211021, -45.319416, -45.321373, -45.3231964, -45.3246422, -45.3275032
1551.985, -45.1522484, -45.1596985, -45.1648254, -45.1710472, -45.1752968, -45.1771469, -45.1795959, -45.1783714, -45.1716423, -45.171032
1551.995, -44.934864, -44.9385452, -44.9388885, -44.942421, -44.9446869, -44.9479599, -44.9496727, -44.95327, -44.9583397, -44.9597816
1552.0049999999999, -44.6727333, -44.6667976, -44.6669922, -44.6668243, -44.6644669, -44.6660576, -44.6678581, -44.6700897, -44.6687164, -44.6696205
1552.0149999999999, -44.2839203, -44.2887154, -44.288929, -44.2881203, -44.2886314, -44.2906265, -44.292263, -44.2928581, -44.2931671, -44.2925949
1552.0249999999999, -43.8970909, -43.8975983, -43.9009743, -43.9006691, -43.9007912, -43.9035835, -43.9027672, -43.9057541, -43.9092484, -43.9102821
1552.0349999999999, -43.4430618, -43.4438057, -43.444931, -43.4469643, -43.4484215, -43.4502907, -43.4573364, -43.462574, -43.4617195, -43.4617462
1552.0449999999998, -42.9888458, -42.9876022, -42.9874268, -42.9833374, -42.9815712, -42.9790764, -42.9805412, -42.9829063, -42.9833832, -42.9819946
1552.0549999999998, -42.4108658, -42.4129524, -42.4146729, -42.4161072, -42.41782, -42.4205704, -42.4201927, -42.4186249, -42.421257, -42.4229088
1552.0649999999998, -41.8498192, -41.8483772, -41.8478394, -41.847023, -41.8461952, -41.847477, -41.8495407, -41.8454742, -41.8453293, -41.846138
1552.0749999999998, -41.1818962, -41.1800613, -41.1803818, -41.1790276, -41.1781387, -41.1804199, -41.1809769, -41.1818428, -41.1777992, -41.179718
1552.0849999999998, -40.5341721, -40.5306664, -40.5289345, -40.5301247, -40.5288315, -40.5276527, -40.5274239, -40.5274429, -40.5259743, -40.5262032
1552.0949999999998, -39.7619629, -39.7599907, -39.7591629, -39.7580414, -39.7596207, -39.7592583, -39.7616463, -39.7610741, -39.7601547, -39.7580681
1552.1049999999998, -39.0550613, -39.0551529, -39.0539131, -39.0531158, -39.0529442, -39.0539131, -39.0552483, -39.0541382, -39.0546532, -39.0565376
1552.1149999999998, -38.2509842, -38.2482643, -38.2467651, -38.2423401, -38.243, -38.2422981, -38.2459373, -38.2473145, -38.2495804, -38.2485275
1552.1249999999998, -37.4326248, -37.4360085, -37.43433, -37.4336815, -37.4351692, -37.4343109, -37.4360008, -37.4365158, -37.4359169, -37.4374542
1552.1349999999998, -36.5181732, -36.5111694, -36.5069046, -36.5014, -36.5027504, -36.5004234, -36.4992981, -36.5004425, -36.5022202, -36.5053444
1552.1449999999998, -35.6130219, -35.6071167, -35.6062927, -35.606041, -35.6060867, -35.6040344, -35.6043358, -35.6017075, -35.6016541, -35.6024895
